Country,1,2,3,4,5,6,7
Afghanistan,238164.83,76078.43,77827.11,155104.93,72758.80,21031.16,1233.91
Albania,8335.92,15213.82,2530.99,848.11,636.12,0.00,241.46
Algeria,553225.53,355381.16,305836.93,423693.45,669277.19,0.00,289.65
Andorra,0.00,0.00,44.41,408.04,0.00,0.00,0.00
Angola,1051606.23,93128.79,43762.01,34494.92,14361.44,0.00,366.44
Antarctica,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antigua and Barbuda,0.00,72.82,214.84,0.00,0.00,0.00,0.00
Argentina,2118949.33,358590.63,129407.04,108020.56,30733.53,10002.74,20767.12
Armenia,9512.97,8592.80,8213.02,1980.56,177.95,0.00,1113.92
Australia,5166249.95,1636052.59,682620.70,59963.13,757.73,0.00,92484.43
Austria,25062.14,30214.50,9744.79,7471.26,9893.98,1379.56,227.34
Azerbaijan,63147.73,10104.95,3806.10,5906.10,2163.88,0.00,0.00
Bahamas,733.00,520.37,7185.71,0.00,0.00,0.00,470.19
Bahrain,434.25,0.00,0.00,0.00,0.00,0.00,0.00
Bangladesh,127288.36,2348.52,664.99,157.50,0.00,0.00,3028.89
Barbados,96.60,83.30,60.81,0.00,0.00,0.00,0.00
Belarus,202963.68,3734.97,455.56,202.10,0.00,0.00,147.04
Belgium,22230.64,7679.65,274.46,163.22,53.99,0.00,0.00
Belize,7220.42,2730.23,8200.14,3251.49,126.94,0.00,60.17
Benin,72624.69,38129.68,3831.12,1269.15,0.00,0.00,0.00
Bhutan,26610.76,1636.36,1499.27,5322.05,978.17,4324.95,0.00
Bolivia,794878.55,141976.90,120095.87,18771.33,2211.57,0.00,8893.14
Bosnia and Herzegovina,30129.50,7926.36,7937.66,5696.49,121.99,0.00,0.00
Botswana,473576.07,68862.84,23730.76,8636.96,4186.69,0.00,0.00
Brazil,5138947.90,1857374.65,1043459.84,283129.28,61636.90,0.00,73973.84
Brunei,5365.62,0.00,0.00,0.00,0.00,0.00,0.00
Bulgaria,42714.04,29246.74,33328.93,5795.27,502.23,0.00,930.78
Burkina Faso,110008.28,114937.11,40360.65,6573.91,927.10,0.00,0.00
Burundi,15042.06,6678.25,2724.63,492.44,128.00,0.00,1979.40
Cambodia,130890.35,36816.23,7907.25,1962.02,0.00,0.00,2918.27
Cameroon,355721.41,57652.90,41081.98,3435.07,2293.24,0.00,2762.65
Canada,2601881.67,938549.80,638840.09,163969.87,21207.77,4897980.96,457288.09
Cape Verde,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Central African Republic,459739.78,122213.42,27974.15,2314.70,4398.97,0.00,1347.97
Chad,452377.93,159405.77,281759.39,185853.77,172708.52,0.00,14188.30
Chile,249353.96,141033.53,169722.45,62639.66,77289.47,2168.14,9285.77
China,5890031.57,635563.41,317624.43,298297.29,576457.30,1567059.27,67130.48
Colombia,872690.54,109424.96,106962.86,15011.14,21968.53,0.00,1994.23
Comoros,123.74,868.80,0.00,0.00,0.00,0.00,0.00
Congo,322737.82,19243.38,292.25,0.00,0.00,0.00,2197.29
Cook Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Costa Rica,38523.69,8016.76,1987.54,1280.45,148.34,0.00,11.75
Croatia,34262.97,2428.05,6011.84,8912.29,1471.09,0.00,0.00
Cuba,27690.13,26237.06,26044.55,21419.87,2241.40,0.00,142.70
Curaçao,233.28,0.00,0.00,0.00,0.00,0.00,0.00
Cyprus,257.43,2733.96,4189.55,1057.51,232.56,0.00,0.00
Czech Republic,18306.55,53936.61,6176.99,332.08,0.00,0.00,0.00
Côte d'Ivoire,208753.51,102676.44,5677.70,423.28,0.00,0.00,2351.61
Democratic People's Republic of Korea,30499.10,9743.21,58054.01,21307.78,128.88,235.34,194.71
Democratic Republic of the Congo,2021953.30,246432.23,13687.64,3289.40,354.37,0.00,39503.70
Denmark,38775.51,0.00,0.00,0.00,0.00,0.00,786.55
Djibouti,805.03,826.21,544.67,971.81,18015.36,0.00,319.58
Dominica,0.00,434.61,72.63,0.00,0.00,0.00,0.00
Dominican Republic,28881.87,13224.16,4015.47,81.38,0.00,0.00,406.80
Ecuador,182274.28,41083.74,23935.12,1849.50,340.17,0.00,0.00
Egypt,425546.99,144682.37,117495.73,120873.34,183052.32,0.00,4129.63
El Salvador,17935.47,2194.36,83.11,0.00,0.00,0.00,62.20
Equatorial Guinea,23502.81,2185.64,354.08,0.00,0.00,0.00,0.00
Eritrea,24952.96,20209.23,24879.04,36475.72,13316.11,0.00,0.00
Estonia,10944.85,29203.00,1747.97,480.42,142.07,0.00,1848.44
Ethiopia,206296.83,273674.56,224594.03,262299.13,152999.34,0.00,7536.10
Faroe Islands,186.51,317.64,268.38,0.00,0.00,0.00,0.00
Fiji,13125.99,2589.66,0.00,0.00,0.00,0.00,0.00
Finland,170685.31,102014.52,12896.85,3552.03,610.16,14376.41,26576.07
France,352752.58,174383.93,79540.05,28903.87,6088.28,406.98,644.68
Gabon,235862.96,19174.09,254.67,85.47,0.00,0.00,1848.94
Gambia,9164.73,758.75,160.56,0.00,0.00,0.00,320.30
Georgia,45068.50,4855.31,5528.66,5104.85,8379.15,446.27,0.00
Germany,192532.20,112431.52,40871.74,7799.72,1313.17,0.00,648.25
Ghana,114350.93,85731.21,20277.30,4768.70,611.50,0.00,11862.74
Greece,11197.56,38772.45,51299.31,17940.36,3397.35,0.00,98.42
Greenland,9474.14,215.81,202.05,203.66,5129.50,2100969.31,42.94
Grenada,0.00,131.28,0.00,0.00,0.00,0.00,0.00
Guatemala,76466.61,7697.07,19799.65,3257.11,843.52,0.00,186.23
Guinea,88445.97,68753.88,58144.78,10391.89,17388.61,0.00,0.00
Guinea-Bissau,17099.91,7606.46,5835.60,201.20,7.55,0.00,0.00
Guyana,151187.95,27996.19,15537.80,11995.68,2065.64,0.00,395.65
Haiti,15848.40,6623.45,1785.54,406.11,0.00,0.00,80.30
Holy See,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Honduras,80869.18,25866.59,2376.41,577.95,413.22,0.00,924.65
Hong Kong,0.00,584.32,20.61,0.00,0.00,0.00,0.00
Hungary,78660.23,8252.69,4286.33,1111.29,139.82,0.00,734.84
Iceland,35533.97,6075.44,5204.61,5180.21,36496.64,8583.74,334.91
India,1573517.36,496954.25,413605.17,563003.87,31352.30,56514.75,6585.62
Indonesia,1406164.89,240164.01,100476.90,44783.51,11824.43,0.00,4013.78
Iran,557406.17,442995.67,376555.16,179135.92,53443.80,0.00,7595.18
Iraq,110113.91,201885.65,89658.51,27845.52,7346.84,0.00,433.38
Ireland,55864.33,5129.46,2848.12,1063.94,283.26,0.00,1002.95
Israel,4236.85,3651.01,6533.80,5453.22,912.04,432.11,221.15
Italy,37664.43,167279.00,53464.35,31107.44,3828.68,1094.87,1152.29
Jamaica,0.00,616.78,6085.42,3434.67,0.00,0.00,0.00
Japan,197198.09,62637.62,93115.01,487.81,1275.89,0.00,138.81
Jordan,7100.92,43968.35,30395.05,5362.65,395.49,758.38,837.85
Kazakhstan,1835138.95,306201.27,183211.23,155423.67,156262.14,18707.19,59293.17
Kenya,363117.59,104416.43,76553.25,22740.68,6820.44,0.00,11335.68
Kiribati,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kuwait,1434.28,10248.27,4996.94,374.13,0.00,0.00,0.00
Kyrgyzstan,50285.11,17780.64,24442.10,12402.02,34801.96,52270.29,6986.55
Lao People's Democratic Republic,56285.98,167427.01,4143.98,242.31,0.00,0.00,0.00
Latvia,40156.25,22187.51,842.89,223.39,124.58,0.00,94.72
Lebanon,257.15,3567.77,3969.36,1398.43,483.65,0.00,0.00
Lesotho,3822.33,24362.12,1824.66,89.83,8.20,0.00,0.00
Liberia,62998.12,28251.71,2904.46,624.52,0.85,0.00,0.00
Libya,568355.48,458624.08,138733.33,55702.84,400379.37,0.00,0.00
Liechtenstein,6.44,96.02,19.35,17.58,0.00,0.00,0.00
Lithuania,50041.39,14594.37,12.66,0.00,0.00,0.00,97.30
Luxembourg,514.43,1285.53,720.71,85.70,0.00,0.00,0.00
Madagascar,473595.51,92258.65,15692.23,3005.86,654.85,0.00,567.37
Malawi,46458.43,23190.35,21777.03,3252.69,303.68,0.00,24406.03
Malaysia,272317.78,45046.97,2362.80,0.00,0.00,0.00,0.00
Maldives,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mali,352065.92,328070.77,246149.23,101319.68,223191.13,0.00,1727.11
Malta,235.06,0.00,0.00,0.00,0.00,0.00,0.00
Marshall Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,206082.13,155890.52,103009.57,160614.87,409733.79,0.00,0.00
Mauritius,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,710822.21,501549.31,296493.64,209595.73,212264.81,0.00,8393.14
Micronesia (Federated States of),0.00,0.00,0.00,0.00,0.00,0.00,0.00
Moldova,32530.69,306.20,163.94,166.07,34.87,0.00,0.00
Monaco,0.00,16.16,0.62,0.00,0.00,0.00,0.00
Mongolia,1164214.66,48263.47,21919.40,11362.80,10788.05,296467.97,11669.65
Montenegro,2630.83,2654.08,4318.51,3265.95,444.42,0.00,231.87
Morocco,162990.48,253025.86,126013.93,34400.03,12026.33,0.00,145.33
Mozambique,596259.02,90276.13,52812.51,23589.36,12035.41,0.00,9115.16
Myanmar,302826.99,277633.21,53753.47,20381.77,70.13,0.00,477.11
Namibia,282028.90,103436.57,95718.65,119027.39,214948.62,0.00,0.00
Nauru,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nepal,53969.21,41012.29,11159.14,21408.99,5163.05,14400.09,0.00
Netherlands,31920.95,736.74,106.13,0.00,52.63,0.00,3220.73
New Zealand,193145.15,23015.45,35658.46,1541.35,10.39,0.00,2992.96
Nicaragua,69233.60,41609.40,4369.50,2930.40,251.38,0.00,9419.97
Niger,432246.27,272775.59,145479.91,40188.27,287743.52,0.00,2834.05
Nigeria,559698.95,240374.87,70186.68,12291.14,13579.11,0.00,9248.88
Niue,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norway,48446.38,136995.37,54034.59,15469.48,595.05,44658.30,5524.00
Oman,161551.03,86418.70,18803.65,23710.93,17259.10,0.00,0.00
Pakistan,300617.03,106874.61,272967.95,149734.62,9824.69,30901.23,691.27
Palau,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Palestine,477.28,481.89,2261.68,1816.69,855.19,127.60,110.34
Panama,58046.87,11571.44,868.97,418.03,168.85,0.00,422.15
Papua New Guinea,304426.63,97292.14,21951.61,21969.00,802.51,0.00,1848.68
Paraguay,316891.78,33182.49,31284.61,7070.63,9457.10,0.00,2013.29
Peru,713004.42,102135.19,198647.26,175425.79,81050.57,164.77,14621.37
Philippines,207649.80,59432.18,4792.26,837.54,0.00,0.00,1243.76
Poland,284167.79,16906.06,7871.79,1899.16,757.30,0.00,1259.14
Portugal,14872.64,37155.88,28036.40,5921.91,669.27,0.00,0.00
Qatar,6970.15,1293.49,2017.35,452.99,0.00,0.00,13.24
Republic of Korea (South Korea),34542.59,9323.38,47866.36,1175.17,21.68,0.00,0.00
Romania,174138.33,30130.63,26715.05,4027.61,882.86,0.00,247.50
Russian Federation,6059656.76,928624.06,124327.58,86119.50,93665.90,9404406.15,163805.90
Rwanda,12070.34,5479.19,2820.18,2569.18,256.32,0.00,2115.23
Saint Kitts and Nevis,0.00,128.30,6.54,0.00,0.00,0.00,0.00
Saint Lucia,24.07,138.65,314.75,0.00,0.00,0.00,0.00
Saint Vincent and the Grenadines,0.00,0.00,248.12,0.00,0.00,0.00,0.00
Samoa,0.00,0.00,0.00,0.00,0.00,0.00,0.00
San Marino,0.00,60.71,0.00,0.00,0.00,0.00,0.00
Saudi Arabia,349343.45,809917.91,429424.12,224769.55,105112.22,0.00,20.25
Senegal,117425.35,54283.58,8434.56,4714.67,9958.21,0.00,751.59
Serbia,61297.78,6249.78,5863.27,2807.29,1176.84,0.00,0.00
Seychelles,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sierra Leone,33131.86,26448.53,7777.36,2041.21,644.71,0.00,169.54
Singapore,333.28,0.00,0.00,0.00,0.00,0.00,0.00
Slovakia,18247.99,21304.48,6033.86,2457.52,429.81,0.00,0.00
Slovenia,5381.31,6548.30,4910.32,2473.12,948.18,0.00,0.00
Solomon Islands,15977.74,5818.08,180.99,36.86,0.00,0.00,0.00
Somalia,260735.51,105191.39,88186.22,74795.60,106146.73,0.00,0.00
South Africa,607968.51,239333.29,152808.66,118439.12,91836.38,0.00,2212.24
South Sudan,229494.57,83825.82,135070.90,170128.56,7478.92,0.00,844.10
Spain,72869.69,212374.02,145188.57,65403.60,3311.98,0.00,522.48
Sri Lanka,51197.49,10232.06,1769.41,254.40,0.00,0.00,315.82
Sudan,900624.59,275091.89,294141.14,308384.51,75767.60,0.00,1626.35
Suriname,129692.82,6685.88,2250.95,949.42,596.64,0.00,3079.13
Swaziland,4128.44,6697.39,4906.60,1147.36,244.71,0.00,0.00
Sweden,41047.74,297557.05,38522.13,2372.77,6385.15,34806.41,20360.10
Switzerland,8341.50,10828.02,10341.23,7359.19,1522.84,2045.71,983.69
Syrian Arab Republic,66468.98,78013.04,29581.70,9476.46,2105.13,0.00,69.15
São Tomé and Principe,476.12,234.19,0.00,0.00,0.00,0.00,0.00
Taiwan,26059.19,6100.44,1861.20,715.73,140.59,0.00,0.00
Tajikistan,37038.63,12759.34,18693.48,15391.44,8859.39,49030.40,467.14
Thailand,325913.82,169457.93,14042.39,412.62,0.00,0.00,305.28
The former Yugoslav Republic of Macedonia,13140.59,3924.83,4141.44,2981.78,739.26,0.00,460.76
Timor-Leste,4108.55,3169.47,3781.15,2684.98,168.89,0.00,0.00
Togo,19259.33,28640.59,6153.53,1681.51,1069.36,0.00,64.59
Tonga,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,2017.09,1706.49,778.32,0.00,0.00,0.00,0.00
Tunisia,47929.51,40096.60,27263.62,8361.18,31181.26,0.00,136.83
Turkey,189171.93,352354.05,177431.08,38196.22,8465.79,0.00,8870.11
Turkmenistan,232889.23,52609.97,152743.84,23486.78,6210.22,0.00,0.00
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,117074.90,39272.72,29278.88,14621.44,3647.99,0.00,37875.19
Ukraine,528462.40,23341.57,5268.33,4816.70,1852.98,0.00,5704.90
United Arab Emirates,10818.16,13443.01,7231.61,12482.82,25323.73,0.00,0.00
United Kingdom,172982.57,40189.22,13196.69,3568.68,2312.86,0.00,901.02
United Republic of Tanzania,449698.39,263898.02,128743.07,26065.38,11708.20,0.00,57556.27
United States of America,6535175.83,1272403.97,274035.63,108227.51,34286.43,968444.82,220843.59
Uruguay,98093.81,32766.65,1709.32,21544.37,19514.10,0.00,2953.53
Uzbekistan,262459.73,30781.40,57250.91,45849.90,18741.29,412.63,32317.78
Vanuatu,7317.45,1777.92,41.37,0.00,0.00,0.00,0.00
Venezuela,547287.17,132767.69,87128.16,83299.30,48142.52,0.00,6416.73
Vietnam,156324.52,151120.46,14605.21,2686.85,0.00,0.00,0.00
Western Sahara,3313.50,36803.40,24958.70,13856.44,11602.33,0.00,0.00
Yemen,50355.59,122069.85,116677.16,107594.23,52955.83,0.00,0.00
Zambia,603723.85,92059.53,30873.48,13565.92,253.79,0.00,11397.05
Zimbabwe,223630.59,70534.94,33398.68,32872.27,25037.09,0.00,3856.72
